Year,YEARLY_TEMPERATURE_CALGARY,YEARLY_TEMPERATURE_VANCOUVER,YEARLY_TEMPERATURE_WINNIPEG,YEARLY_TEMPERATURE_TORONTO,YEARLY_PRECIPITATION_CALGARY,YEARLY_PRECIPITATION_VANCOUVER,YEARLY_PRECIPITATION_WINNIPEG,YEARLY_PRECIPITATION_TORONTO
1940,3.704098361,10.87213115,3.391256831,6.046849315,1.247814208,2.935519126,1.18989071,2.435519126
1941,4.907671233,10.83506849,3.360273973,8.130410959,1.074246575,3.034246575,1.713424658,1.725205479
1942,3.994794521,10.3239011,2.952054795,7.60521978,1.431506849,2.222191781,1.542191781,2.640273973
1943,4.458082192,9.634794521,2.185205479,6.596712329,0.921369863,2.176986301,1.383013699,1.951232877
1944,4.96420765,10.31721311,3.277868852,7.594808743,1.182786885,2.282786885,1.689344262,2.26284153
1945,2.904383562,9.91369863,1.969863014,6.890958904,1.646027397,2.93890411,1.584383562,2.635342466
1946,4.195068493,9.754246575,2.652328767,8.075206612,1.292328767,3.165205479,1.141917808,1.938356164
1947,3.740273973,10.05205479,2.262739726,7.550410959,1.381369863,3.204383562,1.530410959,2.082465753
1948,3.006830601,9.153278689,2.644262295,7.516939891,1.241803279,3.187431694,1.107923497,2.193715847
1949,3.31260274,9.174794521,2.457808219,8.802191781,0.726027397,2.44109589,1.600547945,2.02739726
1950,1.307945205,8.985205479,-0.026849315,7.063561644,1.215342466,3.47890411,1.562465753,2.185205479
1951,1.23260274,9.404657534,1.326849315,7.721643836,2.124931507,2.946027397,1.108493151,2.334794521
1952,3.882240437,9.800819672,3.937431694,8.395901639,1.215300546,1.975956284,0.992076503,1.840437158
1953,4.38109589,10.65917808,3.692054795,8.920273973,1.480547945,3.281369863,1.970136986,2.11260274
1954,2.925753425,9.428219178,2.713150685,7.778356164,1.605205479,2.98109589,1.811232877,2.507945205
1955,1.632876712,8.608219178,2.297260274,8.577260274,1.105753425,2.835342466,1.590684932,1.774246575
1956,2.945081967,9.646721311,2.043442623,7.130874317,1.241530055,3.131420765,1.65273224,2.127595628
1957,3.438082192,9.972054795,3.051232877,8.061643836,1.079726027,2.423835616,1.439726027,1.978356164
1958,4.532328767,11.5339726,3.388493151,7.548493151,1.01260274,3.093424658,1.324383562,1.392054795
1959,3.386027397,9.998630137,2.252054795,8.394794521,1.177534247,3.398356164,1.792054795,1.855616438
1960,4.094262295,10.10464481,2.733879781,7.681147541,1.019125683,3.085519126,1.09863388,1.889617486
1961,4.727671233,10.63123288,3.395342466,8.126575342,1.074246575,3.746575342,0.881369863,1.874794521
1962,4.499452055,10.22465753,2.273150685,7.484657534,0.781643836,3.127671233,1.985205479,2.277534247
1963,4.970958904,10.18712329,3.646027397,7.387671233,1.164383562,2.998356164,1.322465753,1.551780822
1964,3.559836066,9.049453552,2.093715847,7.181967213,1.072131148,3.007650273,1.260928962,1.976502732
1965,2.404657534,9.604383562,0.966849315,6.470410959,1.616986301,2.765753425,1.443835616,2.299178082
1966,2.498630137,9.812876712,0.785753425,6.94630137,1.106027397,3.100547945,1.260273973,1.953972603
1967,3.460821918,10.46136986,1.624383562,6.619178082,0.702465753,3.215890411,1.290684932,2.142739726
1968,3.116393443,9.879781421,2.083879781,6.720218579,0.979781421,3.540710383,1.784153005,2.435519126
1969,2.520547945,9.469589041,1.993424658,6.940273973,1.172876712,2.596712329,1.503561644,1.828219178
1970,3.109315068,9.434246575,1.459452055,6.796438356,1.089863014,2.397260274,1.648767123,2.066575342
1971,3.236438356,9.088493151,1.877808219,7.118630137,1.075342466,3.656986301,1.439452055,1.847123288
1972,2.039344262,9.066393443,0.725409836,5.969398907,1.318032787,3.398360656,1.160655738,2.339344262
1973,3.555616438,9.588219178,3.134520548,8.024657534,0.990410959,2.739178082,1.652876712,2.330684932
1974,4.107671233,9.908767123,1.653424658,6.870958904,0.95260274,3.420273973,1.399452055,2.173424658
1975,2.897534247,9.154246575,2.446575342,7.771232877,1.011506849,3.616712329,1.631232877,2.164657534
1976,5.194808743,9.70273224,2.293169399,6.213114754,1.108743169,2.754918033,1.168579235,2.261202186
1977,4.030684932,9.792328767,3.230136986,7.080821918,1.152054795,2.828219178,1.95890411,2.66109589
1978,2.778356164,9.961643836,1.603287671,6.306027397,1.460821918,2.785753425,1.264383562,1.879452055
1979,3.367123288,10.06,0.829315068,6.952054795,0.781369863,2.701917808,1.291780822,2.408767123
1980,3.971038251,9.833333333,2.616393443,6.67704918,1.219125683,3.87568306,1.107377049,2.316666667
1981,5.898082192,10.46493151,4.444109589,7.180273973,1.389863014,3.997808219,1.314246575,2.165205479
1982,2.372876712,9.620821918,1.96,6.906575342,1.153150685,3.452328767,1.324931507,2.321643836
1983,4.268219178,10.39753425,3.564657534,7.821643836,0.807671233,4.080821918,1.31369863,2.179726027
1984,4.144808743,9.792622951,3.26010929,7.305737705,1.003278689,3.884972678,1.656830601,1.96010929
1985,3.855616438,8.924383562,1.481643836,7.26109589,1.064931507,2.218082192,1.497808219,2.564931507
1986,5.372054795,10.45123288,3.228493151,7.626027397,1.266575342,3.33890411,1.290410959,2.606027397
1987,6.778356164,11.02821918,5.496164384,8.609863014,0.963835616,2.568493151,1.256438356,1.946849315
1988,5.63715847,10.50218579,3.679234973,7.893715847,1.105737705,3.419672131,1.040163934,1.650273224
1989,3.985479452,10.20383562,1.940547945,7.083561644,1.06456044,2.965205479,1.207945205,1.724931507
1990,4.537260274,10.26575342,3.275068493,8.764657534,1.090958904,3.680547945,1.077260274,2.23369863
1991,5.03369863,10.19342466,3.537260274,8.954246575,1.113972603,3.175616438,1.693424658,2.083287671
1992,5.648450704,11.13977901,3.149719101,7.14432133,1.390140845,3.136740331,1.328932584,2.572299169
1993,4.639344262,10.06213873,3.041584158,7.634193548,1.222295082,2.419075145,1.620792079,1.868387097
1994,4.392054795,10.80410959,3.063561644,7.41890411,0.972876712,3.060547945,1.863835616,1.972054795
1995,3.435616438,11.09612188,2.072054795,7.887945205,1.136438356,3.525761773,1.218356164,2.542739726
1996,1.655342466,9.773553719,0.188251366,7.190983607,1.031232877,3.996721311,1.840983607,2.649726776
1997,4.3,10.79753425,2.374246575,7.59890411,1.164931507,4.169315068,1.332328767,1.722191781
1998,4.559178082,11.3539726,4.681917808,10.20465753,1.473150685,3.179452055,1.42,1.868767123
1999,5.130136986,10.28657534,4.462876712,9.508219178,1.256438356,3.820273973,1.455068493,1.813150685
2000,3.669945355,10.13142077,3.483606557,8.271584699,1.127322404,2.761748634,1.96284153,2.064754098
2001,5.006849315,10.25753425,4.634657534,9.702739726,0.872328767,3.228767123,1.51260274,1.891506849
2002,3.727123288,10.35247253,3.267534247,9.476712329,0.943835616,2.349589041,1.313835616,1.813424658
2003,4.303287671,10.96164384,3.800821918,7.983835616,1.178082192,3.030410959,1.184520548,2.45369863
2004,4.937978142,11.45163934,2.675956284,8.24863388,1.056830601,3.307650273,1.880874317,2.06284153
2005,4.935068493,10.85753425,4.200273973,9.066849315,1.478356164,3.329315068,1.833013699,2.100547945
2006,5.32,10.69753425,5.38739726,9.791780822,1.149589041,3.353972603,0.875824176,2.371780822
2007,4.838082192,10.24767123,3.630136986,9.004383562,1.40109589,3.623013699,1.403287671,1.623835616
2008,4.528961749,9.851912568,2.577185792,8.272404372,1.373224044,2.80273224,1.656986301,2.867759563
2009,3.994246575,10.26986301,3.707123288,8.033150685,0.898630137,2.987945205,1.488662791,2.476712329
2010,4.527123288,11.00246575,5.74532967,9.612876712,1.245205479,3.306849315,2.101572327,2.156712329
2011,4.215342466,9.957534247,5.219327731,9.179178082,1.42,2.92739726,0.91779661,2.566575342
2012,5.198265896,10.37076503,6.307627119,10.5352459,1.440869565,3.309562842,1.499423631,1.998907104
2013,5.698688525,10.34705882,3.034357542,8.393314763,1.600327869,2.60505618,1.34056338,2.646498599
2014,4.408219178,11.01291209,2.776648352,7.483013699,1.086908078,3.511420613,1.402694611,2.010410959
2015,6.280821918,11.43269231,5.652341598,8.645753425,1.222777778,3.16232687,1.814845938,1.886312849
2016,6.238461538,11.19614325,6.027094972,10.08770492,1.433333333,3.659279778,1.727247191,1.732417582
2017,5.098270893,10.23102493,5.005833333,9.336813187,1.048484848,3.409668508,1.145352113,2.324175824
2018,4.378932584,10.79642857,4.100277778,9.1,1.167032967,3.690659341,1.128333333,2.431318681
2019,3.690782123,10.35055249,3.364917127,8.14738292,1.448484848,2.645753425,1.488736264,2.551648352
